integration of cell [1]
time C O Mg Si CO C2 c_grain si_grain 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 4.078220e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 4.289874e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 4.505992e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 4.727436e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 4.949222e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 5.175471e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 5.404638e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 5.635104e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 5.869324e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 6.109128e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 6.351827e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 6.597532e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 6.844950e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 7.100459e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 7.358806e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 7.622569e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 7.887936e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 8.156100e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 8.426907e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 8.703721e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 8.984474e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591486e-01 9.269212e-01 0.000000e+00 
